"","CAMHB 0.0625ug/mL Nafcillin 1","CAMHB 0.5ug/mL Nafcillin 1","CAMHB 0ug/mL Nafcillin 1","CAMHB 0.0625ug/mL Nafcillin 2","CAMHB 0.5ug/mL Nafcillin 3","CAMHB 0ug/mL Nafcillin 2","CAMHB 0ug/mL Nafcillin 3","CAMHB 0.0625ug/mL Nafcillin 3","CAMHB 0.5ug/mL Nafcillin 2","R10LB 0.031ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 1","R10LB 0ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 2","R10LB 0ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 3","R10LB 0ug/mL Nafcillin 2","R10LB 0.0625ug/mL Nafcillin 2"
"USA300HOU_RS00355",5.72131993921494,5.72462941335123,5.72613956934922,5.64163222227112,5.71734011744369,5.85555410003129,5.72545555588694,5.7634217559358,5.69283703142321,5.52795252266813,5.51068849306064,5.81202841178561,5.34758927717138,5.48932320973966,5.92534073790985,5.46495774753347,5.51981344656128,5.76031756642195
"USA300HOU_RS00360",5.05358870712701,4.67627652027438,4.82008470189609,5.01702755442396,4.71804058174427,4.30239008836864,4.8641616953481,5.00250525984771,5.16212537327605,5.18913985440254,5.24580189657334,5.40165332077209,4.95719068725014,5.01397558063692,5.61984098345578,5.08319469362073,5.2806766280206,5.3895430471423
"USA300HOU_RS00365",4.62605004413012,4.63682921862128,4.6356220903735,4.59329888097844,4.51712344214921,4.78155600267237,4.7211577625448,4.7353197252577,4.58824093721212,4.86295890272245,4.70397575706798,5.08077596585937,4.63498931350368,4.46494901778399,5.37862534343999,4.44337540580072,5.00188198592156,5.01285297648389
"USA300HOU_RS00370",4.05467979477438,4.29422056903416,4.03952964504727,4.0749060751428,4.26936973888219,4.22122634373406,4.05705693957963,4.1216433404609,4.1565449370849,4.59105071771721,4.40585002451301,4.71813290057202,4.37359956026866,4.54183636443284,5.02717115083752,4.10481535106206,4.4767503944207,4.52445824725318
"USA300HOU_RS00375",3.31001860418417,3.53211626889553,3.76783109010485,3.39727519134536,3.32826185241758,3.38795212188248,3.5584312025419,3.70858122273611,3.78763073198753,4.0937100543699,4.1989673980594,4.38721278318328,3.81026649307388,3.66623821649196,4.86739204661454,3.7660073809673,4.28749286476863,4.52704812759831
"USA300HOU_RS00380",3.40659600337066,3.18845199884611,3.60627472146124,3.38626706671612,3.35423367843565,3.28340428937893,3.39983201188404,3.43683755837589,3.47396421481583,3.96914098588254,4.08807410861596,4.45764430262714,3.54955401159123,3.76254429150272,4.90223646469978,3.81115711033546,4.35380417264109,4.22504919590387
"USA300HOU_RS00385",3.53835875677367,3.46607102457235,3.43201666100682,3.00119568335754,3.41585410713368,3.79211734449472,3.58177997944087,3.46599578345804,3.65370621085895,4.39115071159632,4.29599420562179,4.76466534448801,4.09358172855063,4.3110818128983,5.014207796401,4.13260070575503,4.46106056395613,4.53144192776711
"USA300HOU_RS00390",7.52203934239766,7.56193710041605,7.49504220698649,7.53472521062651,7.63890764456375,7.45220826872565,7.39945874337071,7.53646097444493,7.59384449919772,7.83162748374214,7.78960618944716,8.22344900220854,7.99406277963287,7.97381202403122,7.85681689435638,7.95160681648066,7.88441837649987,7.9487880848826
"USA300HOU_RS00395",6.99441614399097,7.13805139396787,6.95856009761859,7.01651009268249,7.14686335410167,7.02477056288936,6.88648460283481,7.04872858781645,7.03889389529025,7.41424796000138,7.40895239507578,7.77810077229507,7.51104590178972,7.52776116905044,7.48830217226393,7.52940778544235,7.41125327583616,7.59997945743449
"USA300HOU_RS00400",0.699168645715101,1.11813941562299,1.15612694037736,1.36029052542988,1.30183730964886,0.669302559503205,1.4459530482598,0.0580187406956258,0.65787210153497,4.17670927114704,3.6120657820702,2.44261622081569,3.95540794343024,3.90498740425953,3.26388267768047,3.18042545968323,3.27060793147702,3.20898339573002
